[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 537583133, 'fix_type': 3, 'lat': 462880669, 'lon': 213602906, 'alt': 112040, 'eph': 147, 'epv': 179, 'vel': 102, 'cog': 29230, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1470, 'v_acc': 1790, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 538112617, 'fix_type': 3, 'lat': 462880686, 'lon': 213602867, 'alt': 111960, 'eph': 152, 'epv': 186, 'vel': 41, 'cog': 31440, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1520, 'v_acc': 1860, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 538641716, 'fix_type': 3, 'lat': 462880675, 'lon': 213602861, 'alt': 111970, 'eph': 154, 'epv': 191, 'vel': 13, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1540, 'v_acc': 1910, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 539170605, 'fix_type': 3, 'lat': 462880673, 'lon': 213602862, 'alt': 111940, 'eph': 156, 'epv': 197, 'vel': 1, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1560, 'v_acc': 1970, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 539699045, 'fix_type': 3, 'lat': 462880671, 'lon': 213602868, 'alt': 111900, 'eph': 157, 'epv': 200, 'vel': 5, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1570, 'v_acc': 2000, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 540227572, 'fix_type': 3, 'lat': 462880667, 'lon': 213602874, 'alt': 111960, 'eph': 158, 'epv': 205, 'vel': 2, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1580, 'v_acc': 2050, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 540755832, 'fix_type': 3, 'lat': 462880663, 'lon': 213602871, 'alt': 111710, 'eph': 160, 'epv': 210, 'vel': 0, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1600, 'v_acc': 2100, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 541284475, 'fix_type': 3, 'lat': 462880652, 'lon': 213602886, 'alt': 111670, 'eph': 162, 'epv': 215, 'vel': 26, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1620, 'v_acc': 2150, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 541813110, 'fix_type': 3, 'lat': 462880634, 'lon': 213602898, 'alt': 111550, 'eph': 167, 'epv': 223, 'vel': 27, 'cog': 29410, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1670, 'v_acc': 2230, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 542342129, 'fix_type': 3, 'lat': 462880632, 'lon': 213602887, 'alt': 111220, 'eph': 168, 'epv': 227, 'vel': 22, 'cog': 29410, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1680, 'v_acc': 2270, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 542870970, 'fix_type': 3, 'lat': 462880630, 'lon': 213602899, 'alt': 111020, 'eph': 171, 'epv': 232, 'vel': 5, 'cog': 29410, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1710, 'v_acc': 2320, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 543399694, 'fix_type': 3, 'lat': 462880622, 'lon': 213602933, 'alt': 111010, 'eph': 175, 'epv': 236, 'vel': 20, 'cog': 29410, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1750, 'v_acc': 2360, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 544457328, 'fix_type': 3, 'lat': 462880633, 'lon': 213602950, 'alt': 111000, 'eph': 176, 'epv': 235, 'vel': 3, 'cog': 29410, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1760, 'v_acc': 2350, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 544987335, 'fix_type': 3, 'lat': 462880629, 'lon': 213602968, 'alt': 111090, 'eph': 176, 'epv': 235, 'vel': 29, 'cog': 29410, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1760, 'v_acc': 2350, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 546044295, 'fix_type': 3, 'lat': 462880624, 'lon': 213602969, 'alt': 111060, 'eph': 177, 'epv': 235, 'vel': 5, 'cog': 29410, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1770, 'v_acc': 2350, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
